file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00661_0560_4782602_to_4785258,དཔེར་ན་གྲོགས་པོ་ཅིག་ཡིན་ན་ཡང་། ང་གཉིས་གྲོགས་པོ་བྱེད་ཀི་ཡིན་ད་ཟེར་དུས་ཙམ་པ།  ,dper na grogs po cig yin na yang /_nga gnyis grogs po byed ki yin da zer dus tsam pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00661_0560_4782602_to_4785258.wav,STT_TT,3,76,2.656,wav16k/STT_TT00661_0560_4782602_to_4785258.wav,དཔེར་ན། གྲོགས་པོ་གཅིག་ཡིན་ན་ཡང་། ང་གཉིས་གྲོགས་པོ་བྱེད་ཀི་ཡིན་ད་ཟེར་དུས་ཙམ་པ།
STT_TT00371_0066_310454_to_313910,ད་ལོ་རྒྱུས་རྣམ་ཐར་གི་ཐོག་ནས་མར་ཅིག་ལྟོས་ཤོག་ད། སྐུ་ཚེ་ཧྲིལ་པོ་ཁོ་རང་ལོ་རྒྱུས་ཟིམ་མིན་འགྲོ་བམས།  ,da lo rgyus rnam thar gi thog nas mar cig ltos shog da/_sku tshe hril po kho rang lo rgyus zim min 'gro bams/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00371_0066_310454_to_313910.wav,STT_TT,3,96,3.456,wav16k/STT_TT00371_0066_310454_to_313910.wav,ད་ལོ་རྒྱུས་རྣམ་ཐར་གི་ཐོག་ནས་མར་ཅིག་ལྟོས་ཤོག་དང། སྐུ་ཚེ་ཧྲིལ་པོ་ཁོ་རང་ལོ་རྒྱུས་ཟེར་གི་མེད་འགྲོ་བསམ།
STT_TT00374_0103_534898_to_538706,ལུས་པོ་ཕ་གི་སླེབས་བསྡད་ཡོད་མ་རེད་དེ། སེམས་དེ་ག་ས་ག་ལ་འཁྱམས་བྱས་འགྲོ་ངེ་གི་སེམས་འཁྱམ་ཁྱི་ཅིག་བྱས་བྱས།  ,lus po pha gi slebs bsdad yod ma red de/_sems de ga sa ga la 'khyams byas 'gro nge gi sems 'khyam khyi cig byas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00374_0103_534898_to_538706.wav,STT_TT,3,102,3.808,wav16k/STT_TT00374_0103_534898_to_538706.wav,ལུས་པོ་ཕ་གི་སླེབས་བསྡད་ཡོད་མ་རེད་དེ། སེམས་དེ་ག་ས་ག་ལ་འཁྱམས་བྱས་འགྲོ་མྱི་གི་སེམས་འཁྱམ་ྱེ་གཅིག་བྱས་བྱས།
STT_TT00371_0067_314198_to_316726,ད་བླ་མ་དེ་ཚོ་དཔེ་བསམ་གིས་མི་ཁྱབ་པ་ཧ་ལས་ཡ་ཅིག་ཡོད་རེད་བ།  ,da bla ma de tsho dpe bsam gis mi khyab pa ha las ya cig yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00371_0067_314198_to_316726.wav,STT_TT,3,57,2.528,wav16k/STT_TT00371_0067_314198_to_316726.wav,ད་བླ་མ་དེ་ཚོ་དཔེ་བསམ་གྱིས་མི་ཁྱབ་པ་ཧ་ལས་ཡ་ཅིག་ཡོད་རེད་བ།
STT_CS-L-2014_2013-M_M-D_D-B07_B05-4_4-R_R-01_0041_561646_to_564394,ཁྱོད་སྐད་ཆ་ལབ་དང་། ཁོ་ཚོས་ལ་དྭགས་ཀི་གཞས་ཁྲབ་བསྡད་ཤག ,khyod skad cha lab dang /_kho tshos la dwags ki gzhas khrab bsdad shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2013-M_M-D_D-B07_B05-4_4-R_R-01_0041_561646_to_564394.wav,STT_CS,3,52,2.748,wav16k/STT_CS-L-2014_2013-M_M-D_D-B07_B05-4_4-R_R-01_0041_561646_to_564394.wav,ཁྱོད་སྐད་ཆ་ལབ་འདུག ཁོང་ཚོ་ལ་དྭགས་ཀྱིས་གཞས་འཁྲབ་བསྡད་ཤག
STT_NS_M0271_0022_120900_to_127634,ཡར་མར་ཡར་མར་འགྲོ་ཡ་ཡིན་དུས་ཨེ་ནས་ང་ཚོ་མི་རྒན་པ་དེ་ཚོ་གིས་ད་རོགས་པ་བྱས་ནས་འཁྲིད་ཡི་ཡོད་བ། ད་དེ་དུས་མི་རྒན་པ་མེད་དུས་ང་རང་གཉིས་གཅིག་པོ་གཅིག་རེད་རཱ།  ,yar mar yar mar 'gro ya yin dus e nas nga tsho mi rgan pa de tsho gis da rogs pa byas nas 'khrid yi yod ba/_da de dus mi rgan pa med dus nga rang gnyis gcig po gcig red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0271_0022_120900_to_127634.wav,STT_NS,3,147,6.734,wav16k/STT_NS_M0271_0022_120900_to_127634.wav,ཡར་མར་ཡར་མར་འགྲོ་ཡ་ཡིན་དུས་ཨེ་ནས་ང་ཚོ་མི་རྒན་པ་དེ་ཚོ་གིས་ད་རོགས་པ་བྱས་ནས་འཁྲིད་ཀི་ཡོད་བ། ད་དེ་དུས་མི་རྒན་པ་མེད་དུས་ང་རང་གཉིས་གཅིག་པུ་ཅིག་རེད་རཱ།
STT_NS_M0227_0098_812636_to_818267,ང་ང་རང་ཡོད་བ་ང་པེ་ང་ད་ལྟ་འདི་ཉར་དགོ་རེད་ཡོད་བ། ད་ལྟ་འཛིན་གྲྭ་ཀ་ཅི་དངུལ་དང་ཚང་མ་ཉར་མྱི་ང་རེད་ཡོད་བ།  ,nga nga rang yod ba nga pe nga da lta 'di nyar dgo red yod ba/_da lta 'dzin grwa ka ci dngul dang tshang ma nyar myi nga red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0227_0098_812636_to_818267.wav,STT_NS,3,100,5.631,wav16k/STT_NS_M0227_0098_812636_to_818267.wav,ང་ང་རང་ཡོད་བང་ད་ལྟ་འདི་ཉར་གི་ཡོད་རེད་ཡོད་བ། ད་ལྟ་འཛིན་གྲྭ་ཀ་ཅི་དངུལ་དང་ཚང་མ་ཉར་མྱི་ང་རེད་ཡོད་བ།
STT_NS_M0233_0139_1349478_to_1351591,བུ་དེ་གཤག་བཅོས་བྱེད་དགོས་བསམ་རེད། ཡིན་ནས་གཤག་བཅོས་བྱས་ན་ཡང་།  ,bu de gshag bcos byed dgos bsam red/_yin nas gshag bcos byas na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0233_0139_1349478_to_1351591.wav,STT_NS,3,62,2.113,wav16k/STT_NS_M0233_0139_1349478_to_1351591.wav,བུ་དེ་གཤགས་བཅོས་བྱེད་དགོས་བསམ་རེད། ཡིན་ནས་གཤགས་བཅོས་བྱས་ན་ཡང་།
STT_NS_M0190_0108_922738_to_926203,ཨ་མ་ལགས་དེ་ཚོ་ལ་མིང་འདོགས་བཏགས་ཨ་མ་ལགས་དེ་ཚོ་ལ་ཅིག་ཁ་ལན་བསློགས།  ,a ma lags de tsho la ming 'dogs btags a ma lags de tsho la cig kha lan bslogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0190_0108_922738_to_926203.wav,STT_NS,3,65,3.465,wav16k/STT_NS_M0190_0108_922738_to_926203.wav,ཨ་མ་ལགས་དེ་ཚོ་ལ་མིང་འདོགས་བཏགས། ཨ་མ་ལགས་དེ་ཚོ་ལ་ཅིག་ཁ་ལན་སློག
STT_TT00370_0137_724469_to_728085,སོ་སོའི་རོགས་པ་དེ་བསམ་བློ་གཏང་དགོས་ངེ་། བུ་གུ་དེ་བསམ་བློ་གཏང་དགོས་ངེ་། འདིའི་སྤུན་རྒྱ་དེ་གས་བསམ་བློ་གཏང་དགོས་ངེ་།  ,so so'i rogs pa de bsam blo gtang dgos nge /_bu gu de bsam blo gtang dgos nge /_'di'i spun rgya de gas bsam blo gtang dgos nge /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00370_0137_724469_to_728085.wav,STT_TT,3,115,3.616,wav16k/STT_TT00370_0137_724469_to_728085.wav,སོ་སོའི་རོགས་པ་དེ་བསམ་བློ་གཏང་དགོས་མྱི། པུ་གུ་དེར་བསམ་བློ་གཏང་དགོས་མྱི། དེའི་སྤུན་རྒྱ་དེ་གས་བསམ་བློ་གཏང་དགོས་མྱི།
